Title,Column 1,Column 2,Column 3,Column 4
Vice President of Sales and Growth Strategy,Vice President,,,
"VP, Global FP&A and IR",Vice President,,,
"Director of Origination & Development Power, Storage & Commercial Marketing",Director,,,
"Director, Brand Strategy & Communications",Director,,,
"Global Director, Marketing & Business Development for the IPMT Practice Group",Director,,,
"Director, Product Marketing and GTM",Director,,,
Director Procurement and Supply Chain,Director,,,
Director of Food and Beverage,Director,,,
V.P. Business Development Pacific Northwest and Northern California,Vice President,,,
Vice President Sales and Environmental Services,Vice President,,,
"EVP, Chief Operating Officer",Vice President,,,
Head of Lifecycle Marketing,Director,,,
Sr. Director of Sales & Customer Success,Director,,,
Enterprise Sales Director AI,Director,,,
AGChief Credit Officer,Chief Officer,,,
Director of Travel and Purchasing,Director,,,
"Vice President, Off Premise Marketing",Vice President,,,
Director of Sales and Account Management,Director,,,
Senior Director Process & Profit Improvement,Director,,,
"Director, Investment Strategy Group",Director,,,
"Managing Director, Investor Relations",Director,,,
Vice President Global Lead Sales Strategy & Business Operations,Vice President,,,
"Asst Corp Controller, Director Of Tax",Director,,,
"Managing Director, Technology, Media & Telecom Investment Banking",Director,,,
"Senior Vice President, Finance & Accounting",Vice President,,,
"Vice President, Customer Solutions",Vice President,,,
"Vice President, Business Architect",Vice President,,,
Deputy City Controller,Individual Contributor/Staff,,,
Practice Owner,Individual Contributor/Staff,,,
Vice President Client Solutions,Vice President,,,
Senior Director of Customer Management,Director,,,
Vice President Private Client Advisor,Vice President,,,
"CEO & Founder, Chief Troublemaker",Chief Officer,,,
"Senior Vice President, Client Development",Vice President,,,
AVP Retail Loan Officer NMLS,Director,,,
"Director, Database & Business Intelligence",Director,,,
"Assistant Vice President, Business Operations and Census Performance",Director,,,
Director Global Business,Director,,,
"Vice President, Mortgage Services",Vice President,,,
"Managing Director, Accounting & Transaction Services and Compliance & Risk Services",Director,,,
"Senior Director, Global Business Analytics & Insights",Director,,,
"VP, Commercial Banker",Vice President,,,
Assistant Vice-President Agribusiness Finance,Director,,,
"Director, Finance and Investment Operation",Director,,,
"Executive Director, Financial Planning and Analysis",Director,,,
"Vice President Finance, Strategy and Culture",Vice President,,,
"Vice President, Finances",Vice President,,,
"VP, Financial Reporting and Controller",Vice President,,,
Adelaide Group Financial Director,Director,,,
Group Chief People Officer,Chief Officer,,,
Director Financial Statment Department,Director,,,
Sr Revenue Analyst/Rebate Manager,Manager,Individual Contributor/Staff,,
Director and Assistant Corporate Controller,Director,,,
Managing Director Investments,Director,,,
"Director, Programmatic Revenue Strategy",Director,,,
Director of Internal Audit & SOX Compliance,Director,,,
Director Treasury,Director,,,
"Vice President, Finance and Corporate Controller",Vice President,Manager,,
"Branch Office Manager, Financial Advisor",Individual Contributor/Staff,,,
"Senior Director GPO Revenue, Corporate Finance",Director,,,
Vice President National Corporate Banking,Vice President,,,
"Director, Payroll Tax Operations",Director,,,
Director of Revenue Management Distribution,Director,,,
Senior Director Corporate Controller,Director,,,
Director Credit And Collections,Director,,,
Director Operations Accounting,Director,,,
"Executive Director, Revenue Enablement",Director,,,
CFO/VP of Finance,Vice President,,,
Director of Loan Operations,Director,,,
"Vice President, Senior Global Trader",Vice President,,,
"Executive Director, Accounting/ Finance",Director,,,
Director of CRM Finance,Director,,,
VP of Residential Accounting,Vice President,,,
"Senior Vice President, Risk Management & Audit Officer",Vice President,,,
Vice President Commercial Finance Officer,Vice President,,,
"Executive Director, Insurance & Investment Services",Director,,,
"SVP, Senior Credit Administrator",Vice President,,,
Engagement Director Global Financial Crimes Compliance,Director,,,
Head of IT Manufacturing & Supply Chain,Director,,,
Head of Information Communications & Technology,Director,,,
"Director, IT Operations & Service Delivery",Director,,,
National Managing Partner and CEO,Manager,Chief Officer,,
Chief Oracle Finance,Vice President,Manager,Individual Contributor/Staff,Director
Head of of Administration and Finance Zone Direction,Director,,,
"Head of the External Control Unit, Regional Comptroller of Arica and Parinacota",Director,,,
"Head of the Consumer, Mortgage and Pledge Credit Department",Director,,,
Data Analyst Analytics,Individual Contributor/Staff,,,
Audit & Compliance Director,Director,,,
Credit Director,Director,,,
"Global Head of IT Technology, IT Cloud and IT Finance",Vice President,,,
Director of Innovation and Information Technology,Director,,,
National Director of Electoral Systems and Computer Science,Director,,,
Data Protection Officer/ Information Security Officer,Individual Contributor/Staff,,,
Global Accounting & Reporting Director,Director,,,
IT - Financial Market Data,Individual Contributor/Staff,,,
Head of Investment Policy,Director,,,
"Chief, Application Development Branch",Vice President,Manager,Individual Contributor/Staff,Director
"Head of Finance, Accounting and Taxes",Director,,,
Head Of Group It,Director,,,
Head Treasury Operations,Director,,,
Specialist Digital Transformation,Individual Contributor/Staff,,,
Strategic Advisor Information Management,Individual Contributor/Staff,,,
Information Advisor/Application Manager,Manager,Individual Contributor/Staff,,
"Director of IT Quality, Compliance & Cyber Security",Director,,,
Assistant IT Operations Manager,Individual Contributor/Staff,,,
Accounts Assistant Billing,Individual Contributor/Staff,,,
Purchase Ledger Clerk,Individual Contributor/Staff,,,
"Senior Director Application Development, Business Automation, and Business Systems",Director,,,
Senior Director of IT Security Operations,Director,,,
Vice President Finance General Auditor,Vice President,,,
"IT Director Digital, Finance and Corporate",Director,,,
Data Repair Analyst,Individual Contributor/Staff,,,
"Tech Services Data Analyst, Machine Learning, Natural Language Processing",Individual Contributor/Staff,,,
"Vice President, Purchasing and Facilities",Vice President,,,
Technical Project Operations Team Lead,Individual Contributor/Staff,,,
"Director, Credit Risk Analysis Division",Director,,,
Provider Data,Individual Contributor/Staff,,,
"Director, Application Support and Business Analytics",Director,,,
"Executive Director, IT Operational Security",Director,,,
SVP Director of Special Assets Group for Small Business/Consumer Credit Risk,Vice President,,,
"Managing Director, Head of Lender Finance",Director,,,
"Vice President, Statistics and Data Science",Vice President,,,
"Director, Corporate Land Investment",Director,,,
First Vice President Compliance,Vice President,,,
Fleet Data Specialist,Individual Contributor/Staff,,,
Integration Developer/ Data Science Enthusiast,Individual Contributor/Staff,,,
"Practice Head, Cybersecurity",Director,,,
Applied Development and Technology Center Director,Director,,,
VP / BDO Equipment Finance,Vice President,,,
RID Patrol Data Analyst & Systems Developer,Individual Contributor/Staff,,,
"Division Director, Data Management Solutions",Director,,,
Team Lead Database Administrator,Individual Contributor/Staff,,,
Assistant Audit Manager AVP,Manager,Director,,
"Vice President, Chief Operating Officer of Legal & Special Counsel",Chief Officer,,,
Solutions Delivery Supervisor Information Systems,Individual Contributor/Staff,,,
IT Solution Delivery Lead Sales and Marketing,Individual Contributor/Staff,,,
Supervising IT Analyst,Individual Contributor/Staff,,,
Information Research Supervisor,Individual Contributor/Staff,,,
Managing Director Network Engineering,Director,,,
Pospayments Adminitrator,Individual Contributor/Staff,,,
Server Technician,Individual Contributor/Staff,,,
Auditor-Appraiser,Individual Contributor/Staff,,,
Purchasing Agent - Flexible Packaging,Individual Contributor/Staff,,,
Credit Specialist,Individual Contributor/Staff,,,
"Junior Buyer, Purchasing Department",Individual Contributor/Staff,,,
Senior Mortgage Loan Processor,Individual Contributor/Staff,,,
"Technician, Senior",Individual Contributor/Staff,,,
Accounting Assistant III,Individual Contributor/Staff,,,
Associate Financial Advisor Contact Center & Digital,Individual Contributor/Staff,,,
Head of Software Development Department,Director,,,
Web Developer Senior,Individual Contributor/Staff,,,
DBA SQL Server Senior,Individual Contributor/Staff,,,
Tech Lead Data Engineer,Individual Contributor/Staff,,,
IT Solution Consultant,Individual Contributor/Staff,,,
Software Engineer: ACS,Individual Contributor/Staff,,,
SecOps & IR Team Leader,Individual Contributor/Staff,,,
Director Business Application Support,Director,,,
Senior UX Designer / Developer,Individual Contributor/Staff,,,
"Senior Director, Digital Solutions",Director,,,
"Chief, Policy & Planning, Information Resources and Technology Management",Vice President,Manager,,
Security Operations Center Director,Director,,,
Software Developer II (Full Stack),Individual Contributor/Staff,,,
DevOps/Linux Administrator,Individual Contributor/Staff,,,
VDC Specialist / Mechanical Design / Software Dev,Individual Contributor/Staff,,,
Software Developer Visualization and Infrastructure,Individual Contributor/Staff,,,
Accounting Software Support Specialist ll,Individual Contributor/Staff,,,
VP Network Operations,Vice President,,,
Application Engineer/ Customer Success,Individual Contributor/Staff,,,
Director of Technology/Senior Software Engineer,Director,,,
IT Risk Specialist,Individual Contributor/Staff,,,
Senior GIS Analyst,Individual Contributor/Staff,,,
Frontend Developer; Academic Intern-Full Stack Java Developer,Individual Contributor/Staff,,,
Trading System Developer,Individual Contributor/Staff,,,
Reports Developer,Individual Contributor/Staff,,,
Staff Software Engineer Risk Products,Individual Contributor/Staff,,,
"Principal Learning Software Engineer, Digital Education",Individual Contributor/Staff,,,
Remote System Administrator,Individual Contributor/Staff,,,
Support Systems Analyst,Individual Contributor/Staff,,,
Technical Director Digital Manufacturing,Director,,,
Enterprise Resources Planning Analyst,Individual Contributor/Staff,,,
"Director, Digital & Social Communications",Director,,,
Software Implementation Specialist/ Support Technician,Individual Contributor/Staff,,,
Lead Systems/Network Engineer,Individual Contributor/Staff,,,
Associate IT Help Desk,Individual Contributor/Staff,,,
Senior Channel Development Rep 1 Cloud Services,Individual Contributor/Staff,,,
Enterprise Solutions Specialist Team Lead,Manager,Individual Contributor/Staff,,
Service Dispatch / Service Helpdesk,Individual Contributor/Staff,,,
Software/Hardware Support Specialist,Individual Contributor/Staff,,,
Senior Database Administrator and Senior Analyst,Individual Contributor/Staff,,,
"Director of Innovation, Digital and Robotics Systems",Director,,,
Database Analyst II,Individual Contributor/Staff,,,
Imaging network field spc; . Field service tech,Individual Contributor/Staff,,,
I.T. Senior Systems Engineer,Individual Contributor/Staff,,,
"Co Founder, Board of Directors",Vice President,,,
"CEO, Sonic Foundry Eliminating Barriers of Time & Distance by Powering Learning Worldwide",Vice President,,,
Cofounder,Chief Officer,,,
"Co-Owner, Vice President and General Counsel",Owner,,,
"President, Coronis Health Anesthesia",Chief Officer,,,
Team Lead: PMO and Project Operations,Manager,Individual Contributor/Staff,,
Customer Experience Program Director & Mystery Shopping,Director,,,
Service Clients,Individual Contributor/Staff,,,
Head of Community and Engagement,Director,,,
VP | Director of Systems Engineering,Vice President,,,
Customer Success Senior Director,Director,,,
Director Media Client Service,Director,,,
Head of Design & Brand,Director,,,
Channel Account Director,Director,,,
"Director, Commercial and Procurement",Director,,,
Finance Director Financial Planning & Analysis,Director,,,
Commercial Innovation Director,Director,,,
"Director, Sales Operations and Deal Desk",Director,,,
Senior Project Manager and Business Analyst,Manager,Individual Contributor/Staff,,
Business Analyst/Administrator,Individual Contributor/Staff,,,
"National Director, Strategic Partnerships & Brand Development",Director,,,
Vice President of Events,Vice President,,,
Head of Saas Technical Sales,Director,,,
Senior Data Center Technical Solution Specialist,Individual Contributor/Staff,,,
"Director, Public Cloud Global Product Marketing",Director,,,
Vice President Marketing And Alliances,Vice President,,,
"Director, Public Relations and Events",Director,,,
Quality Assurance and Business Analyst,Individual Contributor/Staff,,,
Vice President Invesments,Vice President,,,
"Director, Business Devlopment Helping move the needle",Director,,,
VP Regional Sales,Vice President,,,
Technology & Data,Individual Contributor/Staff,,,
VP for Operations/CFO,Vice President,,,
"Chief Communications and Marketing Officer, ALL of Research Program",Chief Officer,,,
Senior Vice President Forensic Accounting,Vice President,,,
Business Systems Analyst 4,Individual Contributor/Staff,,,
"Vice President, Corporate Finance & Administration CFO & Treasurer",Vice President,,,
VP Finance and Site Operations,Vice President,,,
"Shareholder, Chair of Tax Section",,,,
"SVP, Global Sales And Revenue",Vice President,,,
President and Founder of Business Credit Reports,Chief Officer,,,
"Vice President, Tax Reporting",Vice President,,,
"Account Director Marketing, Data and Technology Solution Specialist",Director,,,
Senior Business Process Analyst and Automation Specialist,Individual Contributor/Staff,,,
"Senior Director, Product Marketing & Innovation",Director,,,
Vp Of Ecommerce,Vice President,,,
Business Analyst & Technical Operations,Individual Contributor/Staff,,,
Facilities and Purchasing Director,Director,,,
Shareholder/Tax Director,Director,,,
Director of Finance Task Force,Director,,,
Corporate & Franchise Attorney | Partner | Franchise System Development | Public Finance | M&A,Individual Contributor/Staff,,,
Sr. Mortgage Loan Originator/Branch Manager,Manager,Individual Contributor/Staff,,
National Director of Sales and New Business Development,Director,,,
Creative Director/digital Marketing Manager,Manager,Director,,
Principal & National Public Sector Market Group Leader,Chief Officer,,,
Senior Billing Administrator,Individual Contributor/Staff,,,
Senior Sales Engr,Individual Contributor/Staff,,,
Senior Associate Marketing Coordinator,Individual Contributor/Staff,,,
Head of Channels & Strategic Accounts,Director,,,
Economist,Individual Contributor/Staff,,,
SC&M Procurement Advisory Senior Analyst,Individual Contributor/Staff,,,
Budget and Finance,Individual Contributor/Staff,,,
Sales & Events Specialist,Individual Contributor/Staff,,,
Staff Accountant II,Individual Contributor/Staff,,,
Safety Coordinator,Individual Contributor/Staff,,,
Financial Planner & Wealth Advisor,Individual Contributor/Staff,,,
Senior Investments Analyst,Individual Contributor/Staff,,,
Pardot Certified Marketing Specialist,Individual Contributor/Staff,,,
Underwriting Marketing Coordinator,Individual Contributor/Staff,,,
Accounts Payable/accounts Receivable Coordinator,Individual Contributor/Staff,,,
Investment Associate,Individual Contributor/Staff,,,
Technical Accountant,Individual Contributor/Staff,,,
Digital Marketing Associate,Individual Contributor/Staff,,,
Accounting and Office Assistant,Individual Contributor/Staff,,,
Processor IP Product Marketing,Individual Contributor/Staff,,,
Senior Director Strategic Partnerships And Alliances,Director,,,
Sales Navigator,Individual Contributor/Staff,,,
Correspondence & Digital Media Coordinator,Individual Contributor/Staff,,,
Program Financial Analyst,Individual Contributor/Staff,,,
Public Accountant CPA,Individual Contributor/Staff,,,
"Vice President, Group Head of Internal Audit & Compliance",Vice President,,,
"Head, Card Business Development",Director,,,
Head Marketing & Digital,Director,,,
Assets Audit Department Head,Director,,,
Head of International Product and Marketing Management,Director,,,
Head of Finance & Administration / Prokurist,Director,,,
Managing Director - Special Property Finance,Director,,,
"Head of Own Brand Management, Merchandising & Offer Management Coordination",Director,,,
Advanced Quality Team Leader,Individual Contributor/Staff,,,
Regional Head Digital Marketing,Director,,,
Jr. Business Analyst,Individual Contributor/Staff,,,
Corporate Sales Head,Director,,,
Pricing and Contracts Business Analyst,Individual Contributor/Staff,,,
Business Management Analyst III,Individual Contributor/Staff,,,
Business Process and Communications Analyst,Individual Contributor/Staff,,,
"Vice President Store Development, Facilities & Procurement",Vice President,,,
"Business Management Analyst, Customer Experience",Individual Contributor/Staff,,,
"SVP, Global Sales",Vice President,,,
Vice President of Manufacturing and Engineering,Vice President,,,
Senior Data Wrangler,Individual Contributor/Staff,,,
Senior Vice President Trust Advisor,Vice President,,,
Data Communications Analyst III,Individual Contributor/Staff,,,
Business Analyst Data Insights,Individual Contributor/Staff,,,
Life New Business Case Analyst,Individual Contributor/Staff,,,
"Business System Analyst IFS, Project / Maintenance",Individual Contributor/Staff,,,
JDE Business System Analyst,Individual Contributor/Staff,,,
"VP, Finance Strategy and Transformation Program Manager",Vice President,Manager,,
Enterprise Data Strategy and Governance,Individual Contributor/Staff,,,
Administrative Staff Assistant,Individual Contributor/Staff,,,
Vice President of Finance - Metro Hospitals,Vice President,,,
Chief Financial Officer and Executive Vice President Fuels,Chief Officer,,,
Organizational Efficiency Business Analyst,Individual Contributor/Staff,,,
Director of Data Licensing,Director,,,
Business Systems Analyst Support Services Sr,Individual Contributor/Staff,,,
Head of Sales & Regional Manager,Director,,,
Business Systems Analyst ll,Individual Contributor/Staff,,,
"Vice President, Credit Program Manager",Vice President,Manager,,
Pricing & Business Analyst,Individual Contributor/Staff,,,
Director Sales GM,Director,,,
Data and Administrative Coordinator,Individual Contributor/Staff,,,
"Senior Director, Brand Experience",Director,,,
Assistant Vice President Market Research and Forecasts,Vice President,,,
"VP of Sales, Digital Security Strategic Accounts",Vice President,,,
"SVP, Credit Risk Mgmt. & Decisioning",Vice President,,,
"Director, Creative Production, Brand Packaging",Director,,,
"Sales Operations Manager Lead, Central Area",Individual Contributor/Staff,,,
Senior SQL RCM Business Analyst,Individual Contributor/Staff,,,
Regional Business Analyst,Individual Contributor/Staff,,,
"Managing Director, Brand, Creative & Advertising",Director,,,
VP Commercial Loan Fulfillment Manager,Vice President,,,
"Art Director, Brand Creative",Director,,,
SVP External & Regulatory Audit,Vice President,,,
Vise President,Vice President,,,
Senior Customer Service Executive/MIS Analyst (Work Force Management),Individual Contributor/Staff,,,
Customer Care Agent,Individual Contributor/Staff,,,
Operation Technical Support Specialist,Individual Contributor/Staff,,,
Senior Customer Support Executive,Individual Contributor/Staff,,,
Customer Assistant,Individual Contributor/Staff,,,
"Vice President IT Enterprise Applications & Engineering, DPO",Vice President,,,
"Director Customer Success / Sr. Manager, Community Solutions Management / Manager, Non Integrated Implementation",Manager,Director,,
"ML Architect Manager, Field CTO",Chief Officer,,,
Senior Program Manager Customer Experience,Individual Contributor/Staff,,,
"Director of Client Services, Affordable Housing",Director,,,
"Senior Vice President, Customer Support",Vice President,,,
Customer Service Development Analyst,Individual Contributor/Staff,,,
"Engineering Team Lead, Data Visualization",Individual Contributor/Staff,,,
Dekstop Support Technician,Individual Contributor/Staff,,,
Team Lead - Database Engineering,Individual Contributor/Staff,,,
Lending Solutions Specialist,Individual Contributor/Staff,,,
Help Desk Level 1,Individual Contributor/Staff,,,
Lead Customer Service Representative,Individual Contributor/Staff,,,
SN Associate Operator Programs and Engagement,Manager,Individual Contributor/Staff,,
Metalworking Technical Support Representative,Individual Contributor/Staff,,,
"Director, Provider Engagement",Director,,,
Staff Support Engineer Technical,Individual Contributor/Staff,,,
CSS II: Bilingual Custoner Service Specialist,Individual Contributor/Staff,,,
Associate Engagement and Social Impact Leader,Manager,Individual Contributor/Staff,,
Customer Assistance Representative,Individual Contributor/Staff,,,
Retail Field Operations,Individual Contributor/Staff,,,
Development Coordinator III Donor Engagement & Recognition,Individual Contributor/Staff,,,
"Senior Director Corp IT Global Infrastructure, Platform, and Database Operations",Director,,,
Sales Engineer; Senior Technical Account Manager,Individual Contributor/Staff,,,
Jr. Customer Support Representative,Individual Contributor/Staff,,,
Customer Care Support,Individual Contributor/Staff,,,
Gear Customer Service Rep,Individual Contributor/Staff,,,
Clinical Application Analyst III,Individual Contributor/Staff,,,
Automated Data Processing Equipment/IT Help Desk,Individual Contributor/Staff,,,
"Customer Support Technician, Sr",Individual Contributor/Staff,,,
Senior Client Support Engineer,Individual Contributor/Staff,,,
Technical Support Coordinator,Individual Contributor/Staff,,,
Customers Service,Individual Contributor/Staff,,,
Customer Care Leader in Insourcing,Manager,Individual Contributor/Staff,,
Inside Sales/Customer Service Representative,Individual Contributor/Staff,,,
Premises Helpdesk Senior Associate,Individual Contributor/Staff,,,
Senior Solutions Specialist,Individual Contributor/Staff,,,
Senior Principal Field Application Engineer,Individual Contributor/Staff,,,
Contact Center Agent/Transportation Specialist,Individual Contributor/Staff,,,
Senior Customer Care Agent,Individual Contributor/Staff,,,
Senior MAC Support Engineer Jamf Client Deployment Coordinator,Individual Contributor/Staff,,,
Aerospace Customer Service Supervisor Davenport Works at Arconic,Individual Contributor/Staff,,,
Direct Customer Service Support,Individual Contributor/Staff,,,
Supervisor Quality Control,Individual Contributor/Staff,,,
"Director, Department of Youth Engagement & Employment Formerly A Division Under Bcyf",Director,,,
QC Tech Support Spec,Individual Contributor/Staff,,,
Lead Call Center Representative,Individual Contributor/Staff,,,
General Manager Procurement and Contracts,Director,,,
SAP System administrator,Individual Contributor/Staff,,,
"Global People Systems, Processes and Information Manager",,,,
Head of Technology & Innovation,Director,,,
Head of Estates & Facilities Management,Director,,,
Senior NPD Technologist,Individual Contributor/Staff,,,
Vice President IAM Platform and Access Administration,Vice President,,,
Senior Director of Business Systems & Applications,Director,,,
"SVP, Cloud SaaS Marketplaces",Vice President,,,
"VP, Enterprise Applications",Vice President,,,
"Vice President, Project Development and Engineering",Vice President,,,
Director of Application Innovation,Director,,,
Principal Systems Engineer II,Individual Contributor/Staff,,,
VP Supply Chain Transformation,Vice President,,,
"SVP GM of Technology, Media, and Communications",Vice President,,,
SeniorQAEngineer,Individual Contributor/Staff,,,
"Vice President, Leadership and System Innovation",Vice President,,,
Director of Water and Reuse Innovation,Director,,,
Chief Technologist/VP,Vice President,,,
"Vice President, Technology Healthcare",Vice President,,,
"Chief of Staff to CIO, EVP, Leasing & Business Development",Chief Officer,,,
Principal Technologist | Associate Vice President,Director,Chief Officer,,
"Head, Equity Trading Technology",Director,,,
"Senior Buyer, Procurement And Vendor Management",Individual Contributor/Staff,,,
"Executive Director, External Innovation",Director,,,
Senior Director of Technology Solutions,Director,,,
Director of Business Process Transformation,Director,,,
Director of Enterprise Technology,Director,,,
Asst. VP of Technology,Director,Chief Officer,,
"Director, ICT",Director,,,
Head of Regional Procurement Packaging,Director,,,
Head of Risk General Insurance & Information Technology,Director,,,
Senior Procurement Policy Officer,Individual Contributor/Staff,,,
Senior Procurement Sourcing Specialist,Individual Contributor/Staff,,,
Head of Corporate IT Quality Department,Director,,,
Procurement Controlling,Individual Contributor/Staff,,,
Head Of Systems Architecture & Plattforms,Director,,,
VP IT Strategy & Processes,Vice President,,,
Chief OT Cyber Security Officer,Chief Officer,,,
"Vice President, IT / Digital",Vice President,,,
Head of Equity IT - / Chief of Staff - Global Markets IT,Vice President,,,
Head of M&A Office,Director,,,
Head of Software Engineering Shared Services & Modernisation Global Capability Units,Director,,,
"Chief Operating Officer, Shell Energy Europe",Vice President,,,
Commercial and Procurement Director,Director,,,
"President, & CEO",Chief Officer,,,
Chief Strategy & New Growth Officer,Vice President,,,
"Legal Counsel, Global Procurement",Individual Contributor/Staff,,,
Senior Director of Information Technology - Order-to-Cash,Director,,,
User Experience Director | Interaction Designer | Engineer,Director,,,
Tech Director Applications,Director,,,
"Director, Global Capital Procurement",Director,,,
Director Rfid Systems Engineering,Director,,,
Vice President Of Enterprise Applications,Vice President,,,
Director of DevOps & SRE,Director,,,
Director of Software Development and Engineering,Director,,,
Senior Director of Engineering Network,Director,,,
"SVP and GM, Cloud Solutions Group",Vice President,,,
VP Premedia & Data Services,Vice President,,,
"Senior Vice President, Game Development",Vice President,,,
"Director, IT Asset and Vendor Management",Director,,,
Senior Director in Data Science,Director,,,
Department Head Instrumentations and Control System Engineer,Director,,,
"Senior Director, Technology Development",Director,,,
Executive Vice President / Chief Operating Officer Getgo,Vice President,,,
"Director, Chief of Staff Tech | Media | Telecom",Vice President,,,
Sevp And Coo,Chief Officer,,,
Director of Technology Development and Architecture - Business Intelligence and Analysis,Director,,,
Director of Systems Engineering Advanced Technology,Director,,,
IT Advisory Director,Director,,,
"Director SAP Order to Cash and Commercial Processes, ZTD",Director,,,
"Director of Technology, NIC Division",Director,,,
Global Director Technology Transformation,Director,,,
Purchasing Senior Analyst,Individual Contributor/Staff,,,
Senior Purchasing Coordinator,Individual Contributor/Staff,,,
Head of Systems Engineering Fashion Solutions,Director,,,
Head of IT Infrastructure & Comms,Director,,,
In App Learning Owner Software,Individual Contributor/Staff,,,
Head of Firewall & Network Operations,Director,,,
CFO  & SVP M&A,Vice President,,,
Director Business & Technology Strategy,Director,,,
Chief Data Office,Chief Officer,,,
Group Chief Risk Officer | Member of the Group Executive Management,Chief Officer,,,
"Chief Risk Officer, Member of the Executive Board",Chief Officer,,,
Head of Unit Solution Architecture,Director,,,
Procurement Advisor International Procurement Centre,Individual Contributor/Staff,,,
Team manager Software Engineer,Individual Contributor/Staff,,,
IT Global Director Finance & GBS,Director,,,
Head of Managed IT Services,Director,,,
IT Project Leader PMO,Individual Contributor/Staff,,,
Business Unit Director Chocolate,Director,,,
"Senior Vice President Sales, Marketing and Customer Service",Vice President,,,
"Director, Brand and Content Strategies and Initiatives / Director Brand Marketing",Director,,,
"Senior Director, Business Development, Strategy and Operations",Director,,,
"Directrice Marketing BEN & Florentine, Tutti Frutti",Director,,,
"Director, B2B Marketing",Director,,,
Head of Integrated Marketing Communications and Social Engagement,Director,,,
Marketing and Digital / Omnichannel Director,Director,,,
"VP Sales, Commercial Support & Communication",Vice President,,,
Customer Marketing Director Smart Home,Director,,,
Director of Grandes Accounts,Director,,,
Technico Commercial Sales Dexis,Individual Contributor/Staff,,,
Responsable Administration DES Ventes Export,Individual Contributor/Staff,,,
Responsable marketing Energy Storage,Individual Contributor/Staff,,,
Agent DE Vente,Individual Contributor/Staff,,,
Technical Sales Medium Voltage Division,Individual Contributor/Staff,,,
After Sales Technician,Individual Contributor/Staff,,,
Associated Accountant,Individual Contributor/Staff,,,
"Managing Director, Strategic Marketing",Director,,,
Market Maintenance Supervisor,Individual Contributor/Staff,,,
Solution Success Executive,Individual Contributor/Staff,,,
"Director, Business Development and Strategy",Director,,,
"Director of Sales, Entertainment",Director,,,
Director of Marketing - Integrated Process Solutions Group,Director,,,
"Senior Director, Diabetes Brand Strategy HCP Marketing",Director,,,
Director Physician Business Development and Executive Health,Director,,,
"Head of Strategy, Global Business Development",Director,,,
"Director, Web Development & Marketing Services",Director,,,
Director of Donor Engagement,Director,,,
AI Director / Customer Success,Director,,,
"Director, Customer Education",Director,,,
"VP, Contact Center Strategic Initiatives",Vice President,,,
Account Executive Team Lead,Individual Contributor/Staff,,,
"Senior Vice President, Corporate Marketing",Vice President,,,
"Senior Vice President, Account Executive",Vice President,,,
Senior Director of Sales and Business Development,Director,,,
"Director of Sales Strategy, Analytics, & Enablement",Director,,,
"Vice President, Health System and Group Engagement",Vice President,,,
Head of Web Marketing & Strategy,Director,,,
Senior Vice President Corporate Communications & Public Relations,Vice President,,,
"Vice President, Global Government Relations and Public Policy",Vice President,,,
"Vice President, Marketing, Home Fragrance Division",Vice President,,,
Senior Vice President /  Market Director,Vice President,,,
"Director, Member Marketing Operations",Director,,,
"VP, Client Contact Center Manager",Vice President,,,
"Head of Client Services, Client Relationship Group",Director,,,
"Security Solutions Account Management, Director",Director,,,
Senior Director of Sales Planning,Director,,,
Contact Center Asistant Manager,Manager,Individual Contributor/Staff,,
Head of Product and Content Marketing,Director,,,
Enterprise Chief Information Officer,Chief Officer,,,
Vp & Chief Technology Officer,Vice President,,,
"Director, Account Management MCO",Director,,,
"Director of Lifecycle, CRM & Marketing Automation",Director,,,
Corporate Membership Director,Director,,,
"Senior Director, Customer Support",Director,,,
Senior Sales & Support Specialist,Individual Contributor/Staff,,,
Senior Advertising Principal,Chief Officer,,,
Sr. Associate Corporate Content Specialist Marketing,Individual Contributor/Staff,,,
Chief Financial Officer/Administrative Services Director,Chief Officer,,,
Senior Associate / Science Practice Marketing Director,Director,,,
"Global Sales & Growth Leader, Business Aviation Maintenance Training",Manager,Individual Contributor/Staff,,
Associate Business Development Manger,Manager,Individual Contributor/Staff,,
Associate Digital Marketing Manager,Individual Contributor/Staff,,,
"Team Lead, Annuity Sales and New Business",Individual Contributor/Staff,,,
Senior Member,Individual Contributor/Staff,,,
ITS CTO Business Solutions Director and Architect,Manager,Chief Officer,,
Vice President (CIO) Information Technology,Vice President,,,
"Director, Global Development Operations",Director,,,
Head of Global Site Reliability Engineering,Director,,,
Cio & Cto,Chief Officer,,,
Vice President In Information Technology - ITSM Architect,Vice President,,,
Owner Services Coordinator,Individual Contributor/Staff,,,
CIO/Drone Operator,Chief Officer,,,
General Manager IT Delivery Centre,Director,,,
Digital Engineering Lead,Individual Contributor/Staff,,,
Director of Executive Operations & Planning,Director,,,
"Director, Technology and Information Systems",Director,,,
Cybersecurity and Infrastructure Director / Cybersecurity and IT Infrastructure Director,Director,,,
"System Analyst, IT Operations",Individual Contributor/Staff,,,
AS400 Programmer Analyst,Individual Contributor/Staff,,,
SFE Director Marketing Operation and Efficiency,Director,,,
Vice Plant Director,Director,,,
Application Support & Infrastructure,Individual Contributor/Staff,,,
Head of Operational Planning,Director,,,
Senior Principal Scientist,Individual Contributor/Staff,,,
